"File","Dependant (Out)","Depends upon (In)","Weight"
"mall-cloud-alibaba-master/mall-portal-member/member-common/src/main/java/com/mtcarpenter/mall/client/MemberAddressClient.java","com.mtcarpenter.mall.client.MemberAddressClient","com.mtcarpenter.mall.model.UmsMemberReceiveAddress, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.model.UmsMemberReceiveAddress, com.mtcarpenter.mall.common.api.CommonResult","2"
"mall-cloud-alibaba-master/mall-portal-content/content-common/src/main/java/com/mtcarpenter/mall/client/SubjectFeign.java","com.mtcarpenter.mall.client.SubjectFeign","com.mtcarpenter.mall.model.CmsSubject, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.model.CmsSubject, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-portal-product/product-common/src/main/java/com/mtcarpenter/mall/client/ProductQueryClient.java","com.mtcarpenter.mall.client.ProductQueryClient","com.mtcarpenter.mall.model.PmsProduct, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.model.PmsProduct, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-portal-member/member-common/src/main/java/com/mtcarpenter/mall/client/MemberIntegrationClient.java","com.mtcarpenter.mall.client.MemberIntegrationClient","com.mtcarpenter.mall.model.UmsIntegrationConsumeSetting, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.model.UmsIntegrationConsumeSetting, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-portal-order/order-common/src/main/java/com/mtcarpenter/mall/client/OrderFeign.java","com.mtcarpenter.mall.client.OrderFeign","com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-portal-product/product-common/src/main/java/com/mtcarpenter/mall/client/PromotionProductClient.java","com.mtcarpenter.mall.client.PromotionProductClient","com.mtcarpenter.mall.domain.PromotionProduct, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.PromotionProduct, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-portal-product/product-common/src/main/java/com/mtcarpenter/mall/client/CartProductClient.java","com.mtcarpenter.mall.client.CartProductClient","com.mtcarpenter.mall.domain.CartProduct, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.CartProduct, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-portal-product/product-common/src/main/java/com/mtcarpenter/mall/client/InventoryClient.java","com.mtcarpenter.mall.client.InventoryClient","com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.api.CommonResult","1"
"mall-cloud-alibaba-master/mall-admin-pms/pms-common/src/main/java/com/mtcarpenter/mall/client/PmsProductClient.java","com.mtcarpenter.mall.client.PmsProductClient","com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.PmsProductOutput, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.PmsProductOutput","1"
".","com.mtcarpenter.mall.client","com.mtcarpenter.mall.model, com.mtcarpenter.mall.domain, com.mtcarpenter.mall.common.api, com.mtcarpenter.mall.common","4"